market,market_id,venue,exchange,symbol,asset,maturity,periodStartTimestamp,datetime,date,open,high,low,close,volume,source_path
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1759363200,2025-10-02T00:00:00.000Z,2025-10-02,0.10950862018014891,0.10952586326984191,0.1032749847774211,0.1032749847774211,3960,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1759449600,2025-10-03T00:00:00.000Z,2025-10-03,0.10329101233170972,0.10595169054803474,0.10097659005980213,0.10389406679684166,1020924.3213331955,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1759622400,2025-10-05T00:00:00.000Z,2025-10-05,0.10296008294306619,0.1243409818462663,0.09976621189996951,0.11092985304150213,11327515.579817655,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1759708800,2025-10-06T00:00:00.000Z,2025-10-06,0.11092985304150213,0.12490327884241648,0.11092985304150213,0.11733533266512985,2731985.1448553386,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1759795200,2025-10-07T00:00:00.000Z,2025-10-07,0.11690335227969796,0.11895721111288848,0.11004148676193103,0.11694495001727641,1370069.5269609806,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1759881600,2025-10-08T00:00:00.000Z,2025-10-08,0.11688909302864858,0.11795062781768509,0.11181893028066897,0.11347833381539453,1462001.0483872467,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1759968000,2025-10-09T00:00:00.000Z,2025-10-09,0.11437899276260745,0.11493630764334259,0.1030703817087607,0.10400428881862633,1464854.2052056561,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760054400,2025-10-10T00:00:00.000Z,2025-10-10,0.1041739762061217,0.10653211980228348,0.08806173665210161,0.0978982442608922,9415135.019912682,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760140800,2025-10-11T00:00:00.000Z,2025-10-11,0.098117840378767,0.09899666416330287,0.0954855833396342,0.09548715450393197,567344.3043812223,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760227200,2025-10-12T00:00:00.000Z,2025-10-12,0.0954855833396342,0.09548715450392545,0.08893251253612099,0.09330890545439519,2396650.222245819,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760313600,2025-10-13T00:00:00.000Z,2025-10-13,0.0938436277876944,0.10362204101158053,0.0938436277876944,0.0971299414873718,4329265.64222316,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760400000,2025-10-14T00:00:00.000Z,2025-10-14,0.09702029883892752,0.10053629849515894,0.0859964336437619,0.10053629849515894,5783302.4461397985,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760486400,2025-10-15T00:00:00.000Z,2025-10-15,0.10031621874611626,0.10042625311878142,0.09603344938986587,0.09795312347556893,782459.4663132197,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760572800,2025-10-16T00:00:00.000Z,2025-10-16,0.09800803683006391,0.09998618163939257,0.09800803683006391,0.09905159830224464,143542.60448691697,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760659200,2025-10-17T00:00:00.000Z,2025-10-17,0.099216479981635,0.10053629849515894,0.099216479981635,0.099216479981635,227655.74815828868,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760745600,2025-10-18T00:00:00.000Z,2025-10-18,0.099216479981635,0.099216479981635,0.09899666416330287,0.09905159799454316,917173.6036125931,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760832000,2025-10-19T00:00:00.000Z,2025-10-19,0.09899666416330287,0.09905159790048046,0.09089430709966655,0.09089430709966655,1879132.7643266425,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1760918400,2025-10-20T00:00:00.000Z,2025-10-20,0.09089430709966655,0.09680092220192489,0.08806173665210161,0.0954299824032075,7031973.028657106,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761004800,2025-10-21T00:00:00.000Z,2025-10-21,0.09504748768357082,0.09504748768357082,0.06353520710489499,0.06401189128209837,16619054.857861,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761091200,2025-10-22T00:00:00.000Z,2025-10-22,0.06459924764280925,0.07928425281964888,0.06459924764280925,0.07744805226706715,5583691.752608621,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761177600,2025-10-23T00:00:00.000Z,2025-10-23,0.07809772251586357,0.0916581813427337,0.07809772251586357,0.0908356461129854,3342764.1248683264,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761264000,2025-10-24T00:00:00.000Z,2025-10-24,0.0916581813427337,0.09691060503614739,0.08947710131363212,0.09647081485652928,1431772.7175812677,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761350400,2025-10-25T00:00:00.000Z,2025-10-25,0.09669125033516325,0.09691060503614739,0.09198571973704756,0.09524249691783039,3530906.6568751098,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761436800,2025-10-26T00:00:00.000Z,2025-10-26,0.0951569951699579,0.0954855833396342,0.09395301488508223,0.0940076940178665,231018.6608186598,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761523200,2025-10-27T00:00:00.000Z,2025-10-27,0.0942812418155208,0.12794454552675824,0.0942812418155208,0.109930490938011,13010210.796368146,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761609600,2025-10-28T00:00:00.000Z,2025-10-28,0.10981950621284094,0.11059663240163133,0.0978982442608922,0.1068634876388541,4695833.939509753,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761696000,2025-10-29T00:00:00.000Z,2025-10-29,0.11048558106731064,0.11048558106731064,0.10020619537606318,0.109874844566332,15352976.23665827,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
10-HYPERLIQUID-BTC-31OCT2025,10,HYPERLIQUID,Hyperliquid,BTC,BTC,2025-10-31,1761782400,2025-10-30T00:00:00.000Z,2025-10-30,0.10981950621284094,0.11683326389880336,0.10848855480944555,0.10956582063527967,2215081.265427438,ohlcv/1d/10-HYPERLIQUID-BTC-31OCT2025/2025-10.ndjson.zip
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,HYPERLIQUID,Hyperliquid,xyzXYZ100,XYZ100,2026-04-24,1774915200,2026-03-31T00:00:00+00:00,2026-03-31,-0.010049914580074619,-0.010049914580074619,-0.013591194374522704,-0.013591194374522704,30,ohlcv/1d/100-HYPERLIQUID-xyzXYZ100-24APR2026/2026-03.ndjson.zip
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,HYPERLIQUID,Hyperliquid,xyzXYZ100,XYZ100,2026-04-24,1775001600,2026-04-01T00:00:00+00:00,2026-04-01,-0.013591194374522704,-0.010049914580074619,-0.023777699297102467,-0.023777699297102467,71081.777619,ohlcv/1d/100-HYPERLIQUID-xyzXYZ100-24APR2026/2026-04.ndjson.zip
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,HYPERLIQUID,Hyperliquid,xyzXYZ100,XYZ100,2026-04-24,1775088000,2026-04-02T00:00:00+00:00,2026-04-02,-0.025827252327160738,-0.025827252327160738,-0.041017910976176575,-0.041017910976176575,58114.966462941535,ohlcv/1d/100-HYPERLIQUID-xyzXYZ100-24APR2026/2026-04.ndjson.zip
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,HYPERLIQUID,Hyperliquid,xyzXYZ100,XYZ100,2026-04-24,1775174400,2026-04-03T00:00:00+00:00,2026-04-03,-0.03873024611718712,-0.03148470451221266,-0.04665447180033307,-0.04665447180033307,120988.88631246572,ohlcv/1d/100-HYPERLIQUID-xyzXYZ100-24APR2026/2026-04.ndjson.zip
